"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"05/30/2016","51","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","48","17","51","18"
"05/31/2016","54","Ozone","Los Gatos","06-085-1001","AQS","9","54",".","51","26"
"06/01/2016","49","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","47",".","49","22"
"06/02/2016","90","Ozone","San Martin","06-085-2006","AQS","8","90","22","53","22"
"06/03/2016","97","Ozone","San Martin","06-085-2006","AQS","8","97",".","59","34"
"06/04/2016","53","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","50",".","53","27"
"06/05/2016","50","Ozone","San Martin","06-085-2006","AQS","7","50","11","41","12"
"06/06/2016","33","Ozone","Los Gatos","06-085-1001","AQS","7","33",".","30","18"
"06/07/2016","33","Ozone","San Jose - Jackson","06-085-0005","AQS","7","33",".","28","17"
"06/08/2016","38","Ozone","Gilroy","06-085-0002","AQS","6","38","12","34","12"
"06/09/2016","38","Ozone","Gilroy","06-085-0002","AQS","6","38",".","25","19"
"06/10/2016","42","Ozone","San Martin","06-085-2006","AQS","6","42",".","33","19"
"06/11/2016","46","Ozone","San Jose - Jackson","06-085-0005","AQS","6","46","19","35","19"
"06/12/2016","39","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","6","37",".","39","13"
"06/13/2016","37","Ozone","San Jose - Jackson","06-085-0005","AQS","6","37",".","35","12"
"06/14/2016","40","Ozone","San Martin","06-085-2006","AQS","5","40",".","26","12"
"06/15/2016","32","Ozone","San Martin","06-085-2006","AQS","6","32",".","22","24"
"06/16/2016","34","Ozone","San Jose - Jackson","06-085-0005","AQS","6","34",".","20","17"
"06/17/2016","24","Ozone","San Jose - Jackson","06-085-0005","AQS","7","24","12","19","19"
"06/18/2016","45","Ozone","San Martin","06-085-2006","AQS","7","45",".","27","15"
"06/19/2016","58","Ozone","San Martin","06-085-2006","AQS","7","58",".","34","19"
"06/20/2016","45","Ozone","Gilroy","06-085-0002","AQS","7","45",".","37","21"
"06/21/2016","45","Ozone","Gilroy","06-085-0002","AQS","8","45",".","44","25"
"06/22/2016","61","Ozone","Gilroy","06-085-0002","AQS","7","61",".","52","19"
"06/23/2016","37","Ozone","Gilroy","06-085-0002","AQS","6","37","18","34","23"
"06/24/2016","47","Ozone","Gilroy","06-085-0002","AQS","8","47",".","27","24"
"06/25/2016","77","Ozone","San Martin","06-085-2006","AQS","8","77",".","52","21"
"06/26/2016","51","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","51","20","51","16"
"06/27/2016","52","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","45",".","52","17"
"06/28/2016","74","Ozone","Gilroy","06-085-0002","AQS","8","74",".","55","16"
"06/29/2016","59","PM2.5","Gilroy","06-085-0002","AQS","2","47","25","59","15"
"06/30/2016","57","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","49",".","57","20"
"07/01/2016","55","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","36",".","55","18"
"07/02/2016","38","Ozone","Los Gatos","06-085-1001","AQS","6","38",".","35","10"
"07/03/2016","39","Ozone","San Jose - Jackson","06-085-0005","AQS","6","39",".","26","12"
